Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
3,1,What are the parts of an atom?,B,"Shell, proton, neutron","Proton, electron, neutron","Electron, nucleus, neutron"
3,2,How is the sum of proton numbers and neutron numbers called?,A,Mass number,Atomic number,Ionisation
3,3,Which of the following gives atomic number and atomic weight of Sodium?,C,Atomic number : 11 Mass number:11,Atomic number:12 Mass number : 11,Atomic number: 11Mass number: 23
3,4,Which of the following is not correct?,B,Last orbit of an atom is called valance shell.,Minimum number of a valance shell is 8,Each electron on valance shell is called free electron
3,5,What is a free electron?,A,Valance electro,Valance shell,Valance atom
3,6,What does electrical and chemical characteristic of elements depend on?,A,free electron,proton,electron
3,7,Which statement is correct?,C,Bir atomun dış yörüngesinden elektron kaybederse ‘Negatif İyon’ olur.,Bir atomun dış yörüngesinden elektron kazanırsa ‘Pozitif İyon’ olur.,"Farklı yükler birbirlerini çeker, aynı yükler birbirlerini iterler.
"
3,8,Which statement is incorrect for conductors?,B,"conductors are the materials which have 1, 2 and 3 electron in last orbit",rubber is one of conductors,conductors are the materials conducting electricity
3,9,Which of the following shows the same electricity characteristic like silver? ,C,Silicon,Mica,Copper
3,10,Which of the following is correct? ,A,An atom consists of two parts which are nucleus and shells around it,Iron is a conductor and glass is a semi conductor,"Semi-conductor materials are silicon, germanium and tin"
3,11,Which of the following is an insulator?,C,Copper,Mica,Glass
3,174,A neutron has.          ,C,       the opposite charge to an Electron but half the weight of a proton.  ,the same charge as an Electron but half the mass.      ,no electrical charge but will add weight to the nucleus.        
3,175,The unit which consists of two or more different types of atoms is known as a.  ,B,       particle of an element. Option ,molecule of a compound.    ,molecule of a compound.        
3,176,In what equipment is a photon radiated when an electron leaves a hole?.                ,B,Photo-cell.       ,LED.   ,        Photo diode.   
3,177,A good electrical insulating material will contain.   ,B,Only a small number of electrons in the outer shell of each atom of the material.     ,strongly bound electrons in the atoms of the material.          ,Weakly bound 'free' electrons in the atoms of the material. 
3,178,The smallest particle that a substance can be split and show the same properties as the whole is known as,C,an Element.     ,a Molecule.     ,an Atom.        
3,179,What charge does the nucleus of an atom possess?.               ,A,Positive.          ,Neutral.         ,Negative.        
3,180,What is the maximum number of electrons in shell N of an atom?. ,B,18,32.      ,16.    
3,181,An oxygen molecule is made up of.               ,C,two oxygen atoms sharing neutrons.  ,two oxygen atoms sharing protons.    ,two oxygen atoms sharing electrons.  
3,182,If electrons are added to an atom it becomes.                 ,C,a neutral ion. ,a positive ion. ,a negative ion. 
3,183,An element whose atoms have fewer than 4 electrons in their valency shell are.                 ,C,semiconductors.        ,good insulators.          ,good conductors.      
3,184,The charge on a proton is.,A,positive.         ,negative.    ,neutral.            
3,185,What effect do the electrons of one atom have upon the electrons of another atom?.                       ,B,They have no effect on each other.   ,They repel each other.,They attract each other.     
3,186,What is a molecule?.           ,B,The smallest part of an atom.  ,The smallest part of a compound.,The smallest part of an electron.      
3,187,An atom is.                ,A,the smallest part of an element that retains its characteristics.        ,the smallest part of a compound that can exist independently.      ,the smallest particle of matter.          
3,188,A neutron is a particle which is.                   ,C,is contained in the nucleus of all atoms.      ,orbits the nucleus of the atom.         ,is contained within the nucleus of most atoms.       
3,189,The mass of an atom is contained mainly in the.                 ,B,proton.,nucleus.         ,electron.        
3,190,When an atom loses or gains an electron it is called.            ,C,a molecule.     ,a current.       ,an ion. 
3,191,A good electrical insulator is a material which.  ,B,contains a large number of positive ions.     ,has its electrons tightly bound to their parent atoms. ,has more protons than electrons.         
3,192,An electric current is.        ,A,an ordered flow of electrons.  ,a surplus of free electron.       ,an excitement of electrons in a metal.
3,193,An atom contains.                 ,C,hydrogen.       ,molecules.     ,electrons.        
3,194,Germanium and silicon have how many electrons in their outer shell?.  ,B,6.       ,4.      ,2.     
3,195,"If a free electron is given to another atom, that atom is a.               ",B,valency atom.  ,negative ion.   ,positive ion.   
3,196,The atomic number of an atom is determined by the number of.                 ,A,protons.          ,electrons.         ,neutrons.        
3,197,The valence electron is.                       ,A,the electron in outer shell of atom.     ,the electron in inner shell of atom.      ,a positive electron.      
3,198,An atom with a deficiency in electrons has.            ,A,low resistance.,high resistance.            ,high impedance.      
3,199,An atom with less than 4 electrons in its outer shell has.                  ,A,low electrical resistance.        ,no electrical resistance.        ,high electrical resistance.   
3,200,"Elements such as phosphorus with 5 electrons in their outer shell, when combined with pure silicon, is a.                  ",C,isotopic.          ,acceptor.         ,donor.  
3,201,An hydrogen atom consist of a.                 ,B,"Proton, Neutron and an Electron.     ",Proton and an Electron only.  ,Neutron and a proton only.   
3,202,For an atom to become a negative ion it must.     ,A,gain at least one electron.       ,have undergone ionisation by the sun.          ,lose at least one electron.       
3,203,What is the maximum number of electrons in shell M of an atom?.               ,A,18.      ,6.         ,16.      
3,204,A neutral atom with an atomic no. of 3 has how many electrons?.               ,B,1.     ,3.      ,Dependant on type of atom.   
3,205,The nucleus of an atom is.           ,B,neutral.         ,positive charged.       ,negative charged.       
3,206,Electron orbits are called.               ,B,waves.,shells. ,valences.       
3,207,A neutral atom gains electrons.                    ,B,It gains a positive charge.      ,It gains a negative charge.     ,It remains neutral.     
3,208,An oxygen atom has.            ,C,protons and electrons.,neutrons and protons. ,"protons, neutrons and electrons.         "
3,12,"For Coulomb's law, which of the following statements is false?",C,"The unit of electric charge is the coulomb, indicated by the letter C.",In the like charges repel and unlike charges attract each other.,"1Q=6,24.1015 electrons."
3,13,Which of the following formulas is correct for Coulomb's law?,B,34,54,54
3,14,Which can not be said for electric current?,C,Electron flow from negative charge to positive charge creates electric current,The unit is amper and is shown with Amp or A,Basic formula is I=V.R
3,15,1mA………………….. A ? ,A,"0,1A","0,01A","0,001A"
3,16,"2,5mA………………….μA ?",B,"0,0025μA",2500μA,250μA
3,17,"0,45A…………………..mA?",A,"4,5mA",45mA,450mA
3,18,Which of the following is not a type of current?,B,Direct Current (DC),Sinusoidal wave form,Alternating Current (AC)
3,19,Find the repulsive force amongst two charges.,C,1×10-6N,10×10-6N,"0,01×10-6N"
3,20,What is Potential Difference (PD)?,A,The difference between positive and negative charges,EMF (Electromotive Force),Electrical Current
3,209,A semi-conductor will have.              ,B,two electrons in the outer shell.       ,four electrons in the outer shell.     ,eight electrons in the outer shell.       
3,210,Ion current is found in.                    ,B,conductors and semi-conductors.      ,liquids and gasses.     ,semi-conductors.         
3,211,Electricity conducts through.            ,B,vacuum.        ,solids and liquids only.       ,solids only.      
3,212,An example of a good electrical insulator is.            ,B,aluminium.    ,glass. ,mercury.
3,213,Static charges remaining in an aircraft are dissipated by.                 ,B,earthing the aircraft as soon as possible.       ,the use of a conducting type nose wheel.      ,bonding the aircraft to a refuel tanker.           
3,214,An element could be considered to be a conductor if it has.            ,A,a small number of electrons in its outer orbit.,a large number of electrons in its outer orbit. ,a large number of electrons.   
3,215,A charged body is said to have.                   ,A,a surplus or deficiency of electrons.   ,a deficiency of neutrons.      ,a surplus of protons.  
3,216,The risk of a fire due to static electricity is overcome.                   ,A,by connecting all metal components by bonding.    ,by fitting static wicks and isolating the battery from inflammable gas sources.     ,by fitting static wicks and insulating all metal components.  
3,217,The purpose of bonding is to.            ,B,ensure all components have been securely fitted.    ,stop different potentials developing with subsequent fire risks.      ,give generated static an easy return path to the generator.   
3,218,The various parts of an aircraft airframe are maintained at the same potential by.  ,B,the supply bus-bars.    ,bonding.       ,static discharge wicks.     
